price,price log,bedrooms,bedrooms log,bathrooms,bathrooms ROUNDED,Bathrooms log,sqft_living,sqft_living log,sqft_lot,sqft_lot log,floors,floors Rounded,floors log,waterfront,view,yr_built,yr_built log,yr_renovated,zipcode,lat,long
231300,5.364175633,2,0.301029996,1,1,0,1180,3.071882007,5650,3.752048448,1,1,0,0,0,1955,3.291146762,0,98178,47.5112,-122.257
538000,5.730782276,3,0.477121255,2.25,2,0.301029996,2570,3.409933123,7242,3.85985852,2,2,0.301029996,0,0,1951,3.290257269,1991,98125,47.721,-122.319
180000,5.255272505,2,0.301029996,1,1,0,770,2.886490725,10000,4,1,1,0,0,0,1933,3.286231854,0,98028,47.7379,-122.233
604000,5.781036939,4,0.602059991,3,3,0.477121255,1960,3.292256071,5000,3.698970004,1,1,0,0,0,1965,3.293362555,0,98136,47.5208,-122.393
510000,5.707570176,3,0.477121255,2,2,0.301029996,1680,3.225309282,8080,3.907411361,1,1,0,0,0,1987,3.298197867,0,98074,47.6168,-122.045
1.23E+06,6.089905111,4,0.602059991,4.5,5,0.698970004,5420,3.733999287,101930,5.008302024,1,1,0,0,0,2001,3.301247089,0,98053,47.6561,-122.005
257500,5.410777233,3,0.477121255,2.25,2,0.301029996,1715,3.234264124,6819,3.83372069,2,2,0.301029996,0,0,1995,3.2999429,0,98003,47.3097,-122.327
291850,5.465159698,3,0.477121255,1.5,2,0.301029996,1060,3.025305865,9711,3.987263954,1,1,0,0,0,1963,3.2929203,0,98198,47.4095,-122.315
229500,5.36078269,3,0.477121255,1,1,0,1780,3.250420002,7470,3.873320602,1,1,0,0,0,1960,3.292256071,0,98146,47.5123,-122.337
323000,5.509202522,3,0.477121255,2.5,3,0.477121255,1890,3.276461804,6560,3.816903839,2,2,0.301029996,0,0,2003,3.301680949,0,98038,47.3684,-122.031
662500,5.821185883,3,0.477121255,2.5,3,0.477121255,3560,3.551449998,9796,3.991048776,1,1,0,0,0,1965,3.293362555,0,98007,47.6007,-122.145
468000,5.670245853,2,0.301029996,1,1,0,1160,3.064457989,6000,3.77815125,1,1,0,0,0,1942,3.288249226,0,98115,47.69,-122.292
310000,5.491361694,3,0.477121255,1,1,0,1430,3.155336037,19901,4.2988749,1.5,2,0.301029996,0,0,1927,3.284881715,0,98028,47.7558,-122.229
400000,5.602059991,3,0.477121255,1.75,2,0.301029996,1370,3.136720567,9680,3.985875357,1,1,0,0,0,1977,3.296006669,0,98074,47.6127,-122.045
530000,5.72427587,5,0.698970004,2,2,0.301029996,1810,3.257678575,4850,3.685741739,1.5,2,0.301029996,0,0,1900,3.278753601,0,98107,47.67,-122.394
650000,5.812913357,4,0.602059991,3,3,0.477121255,2950,3.469822016,5000,3.698970004,2,2,0.301029996,0,3,1979,3.296445794,0,98126,47.5714,-122.375
395000,5.596597096,3,0.477121255,2,2,0.301029996,1890,3.276461804,14040,4.147367108,2,2,0.301029996,0,0,1994,3.299725154,0,98019,47.7277,-121.962
485000,5.685741739,4,0.602059991,1,1,0,1600,3.204119983,4300,3.633468456,1.5,2,0.301029996,0,0,1916,3.282395505,0,98103,47.6648,-122.343
189000,5.276461804,2,0.301029996,1,1,0,1200,3.079181246,9850,3.99343623,1,1,0,0,0,1921,3.283527365,0,98002,47.3089,-122.21
230000,5.361727836,3,0.477121255,1,1,0,1250,3.096910013,9774,3.990072335,1,1,0,0,0,1969,3.294245716,0,98003,47.3343,-122.306
385000,5.58546073,4,0.602059991,1.75,2,0.301029996,1620,3.209515015,4980,3.697229343,1,1,0,0,0,1947,3.289365952,0,98133,47.7025,-122.341
2.00E+06,6.301029996,3,0.477121255,2.75,3,0.477121255,3050,3.484299839,44867,4.651927032,1,1,0,0,4,1968,3.294025094,0,98040,47.5316,-122.233
285000,5.45484486,5,0.698970004,2.5,3,0.477121255,2270,3.356025857,6300,3.799340549,2,2,0.301029996,0,0,1995,3.2999429,0,98092,47.3266,-122.169
252700,5.402605242,2,0.301029996,1.5,2,0.301029996,1070,3.029383778,9643,3.984212167,1,1,0,0,0,1985,3.297760511,0,98030,47.3533,-122.166
329000,5.517195898,3,0.477121255,2.25,2,0.301029996,2450,3.389166084,6500,3.812913357,2,2,0.301029996,0,0,1985,3.297760511,0,98030,47.3739,-122.172
233000,5.367355921,3,0.477121255,2,2,0.301029996,1710,3.23299611,4697,3.67182056,1.5,2,0.301029996,0,0,1941,3.288025535,0,98002,47.3048,-122.218
937000,5.971739591,3,0.477121255,1.75,2,0.301029996,2450,3.389166084,2691,3.429913698,2,2,0.301029996,0,0,1915,3.282168778,0,98119,47.6386,-122.36
667000,5.824125834,3,0.477121255,1,1,0,1400,3.146128036,1581,3.19893187,1.5,2,0.301029996,0,0,1909,3.280805928,0,98112,47.6221,-122.314
438000,5.641474111,3,0.477121255,1.75,2,0.301029996,1520,3.181843588,6380,3.804820679,1,1,0,0,0,1948,3.289588953,0,98115,47.695,-122.304
719000,5.85672889,4,0.602059991,2.5,3,0.477121255,2570,3.409933123,7173,3.855700831,2,2,0.301029996,0,0,2005,3.302114377,0,98052,47.7073,-122.11
580500,5.763802224,3,0.477121255,2.5,3,0.477121255,2320,3.365487985,3980,3.599883072,2,2,0.301029996,0,0,2003,3.301680949,0,98027,47.5391,-122.07
280000,5.447158031,2,0.301029996,1.5,2,0.301029996,1190,3.075546961,1265,3.102090526,3,3,0.477121255,0,0,2005,3.302114377,0,98133,47.7274,-122.357
687500,5.837272703,4,0.602059991,1.75,2,0.301029996,2330,3.367355921,5000,3.698970004,1.5,2,0.301029996,0,0,1929,3.285332228,0,98117,47.6823,-122.368
535000,5.728353782,3,0.477121255,1,1,0,1090,3.037426498,3000,3.477121255,1.5,2,0.301029996,0,0,1929,3.285332228,0,98117,47.6889,-122.375
