id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,yr_built,yr_renovated,zipcode,lat,long,renovation_category,renovation_category_numeric,color
1954400510,510000.0,3,2.0,1680,8080,1.0,0,0,1987,0,98074,47.6168,-122.045,Never Renovated,0,[0.5 0.  1.  1. ]
7237550310,1225000.0,4,4.0,5420,101930,1.0,0,0,2001,0,98053,47.6561,-122.005,Never Renovated,0,[0.5 0.  1.  1. ]
1321400060,257500.0,3,2.0,1715,6819,2.0,0,0,1995,0,98003,47.3097,-122.327,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
3793500160,323000.0,3,2.0,1890,6560,2.0,0,0,2003,0,98038,47.3684,-122.031,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
1875500060,395000.0,3,2.0,1890,14040,2.0,0,0,1994,0,98019,47.7277,-121.962,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
7137970340,285000.0,5,2.0,2270,6300,2.0,0,0,1995,0,98092,47.3266,-122.169,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
8091400200,252700.0,2,2.0,1070,9643,1.0,0,0,1985,0,98030,47.3533,-122.166,Never Renovated,0,[0.5 0.  1.  1. ]
3814700200,329000.0,3,2.0,2450,6500,2.0,0,0,1985,0,98030,47.3739,-122.172,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
1873100390,719000.0,4,2.0,2570,7173,2.0,0,0,2005,0,98052,47.7073,-122.11,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
8562750320,580500.0,3,2.0,2320,3980,2.0,0,0,2003,0,98027,47.5391,-122.07,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
2426039314,280000.0,2,2.0,1190,1265,3.0,0,0,2005,0,98133,47.7274,-122.357,Never Renovated,0,[0.83333333 0.8660254  0.5        1.        ]
2078500320,605000.0,4,2.0,2620,7553,2.0,0,0,1996,0,98056,47.5301,-122.18,Never Renovated,0,[0.16666667 0.8660254  0.8660254  1.        ]
